,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
362,prokudskoye,90,RU,1578408241,85,55.01,82.46,19.4,8.95
363,mopti,3,ML,1578408242,9,14.49,-4.19,88.02,8.39
364,presidente medici,78,BR,1578408100,73,-11.18,-61.9,84.33,5.66
365,uyemskiy,90,RU,1578408242,100,64.47,40.85,28.4,4.47
366,visconde do rio branco,34,BR,1578408096,32,-21.01,-42.84,91.99,5.01
367,malibu,40,MX,1578408242,93,16.77,-93.16,60.8,4.83
368,wewak,100,PG,1578408242,88,-3.55,143.63,78.69,9.46
369,kieta,56,PG,1578408242,78,-6.22,155.63,82.72,5.3
370,ukiah,1,US,1578408242,92,39.15,-123.21,39.99,2.75
371,srednekolymsk,43,RU,1578408242,100,67.46,153.71,-22.36,0.89
372,chalus,0,IR,1578408242,76,36.66,51.42,53.6,2.98
373,yamada,75,JP,1578408242,67,36.58,137.08,57.2,12.75
374,maragogi,88,BR,1578408242,68,-9.01,-35.22,80.67,6.15
375,tura,100,RU,1578408243,89,64.27,100.22,3.51,5.46
376,ahuimanu,75,US,1578408243,73,21.44,-157.84,75.2,17.22
377,chumikan,100,RU,1578408243,72,54.72,135.31,12.74,12.66
378,auki,21,NG,1578408243,15,12.18,6.51,87.87,14.85
379,alice springs,75,AU,1578408243,35,-23.7,133.88,84.2,4.7
380,salekhard,0,RU,1578408243,87,66.54,66.62,-0.85,8.81
381,sechura,76,PE,1578408243,83,-5.56,-80.82,71.87,6.44
